word,meanings,score
cacciatore,"カッチャトーレの,かっちゃとーれの",0
Caceres,"カセレス,かせれす",0
cachaca,"カシャーサ,かしゃーさ",0
cachalot,"《動物》マッコウクジラ,《どうぶつ》まっこうくじら",0
Cachapoal,"カチャポアル川,かちゃぽあるかわ",0
Cachari,"カチャリ,かちゃり",0
cache,"隠したもの,かくしたもの_隠し場所,かくしばしょ_貯蔵所,ちょぞうところ_貯蔵物,ちょぞうもの_隠匿場所,いんとくばしょ_《コ》キャッシュメモリ(cache memory),《こ》きゃっしゅめもり(cache memory)_〔武器や貴重品などを〕隠す,〔ぶきやきちょうひんなどを〕かくす_隠匿する,いんとくする_《コ》～をキャッシュに格納する,《こ》～をきゃっしゅにかくのうする",0
Cache la Poudre,"キャシュラプーダー川,きゃしゅらぷーだーかわ",0
cache-conscious,"《コ》キャッシュを意識した,《こ》きゃっしゅをいしきした",0
cache-sexe,"〈フランス語〉〔陰部を隠すための〕前張り,〈ふらんすご〉〔いんぶをかくすための〕まえはり_前貼り,まえばり",0
cacheability,"キャッシュ可能であること,きゃっしゅかのうであること",0
cachectic,"悪液質の,あくえきしつの",0
cachectin,"《生化学》カケクチン,《せいかがく》かけくちん",0
cachema,"《魚》カマチ,《さかな》かまち",0
cachepot,"飾り鉢,かざりはち",0
cachet,"〈フランス語〉優れていること,〈ふらんすご〉まされていること_威信,いしん_名声,めいせい_〈フランス語〉〔手紙や文書の〕封印,〈ふらんすご〉〔てがみやぶんしょの〕ふういん_公印,こういん_〈フランス語〉〔封筒に押す〕記念スタンプ,〈ふらんすご〉〔ふうとうにおす〕きねんすたんぷ_〈フランス語〉〔切手の裏に付ける〕収集家マーク,〈ふらんすご〉〔きってのうらにつける〕しゅうしゅうかまーく_〈フランス語〉《医》カシェー,〈ふらんすご〉《い》かしぇー",0
cachexia,"《医》悪液質,《い》あくえきしつ",0
cachexy,"悪液質,あくえきしつ",0
Cachinal,"カチナル,かちなる",0
caching,"《コ》キャッシング,《こ》きゃっしんぐ",0
cachinnate,"〈文〉大笑いする,〈ぶん〉おおわらいする",0
cachinnation,"高笑い,たかわらい",0
Cachoeira,"カショエイラ,かしょえいら",0
Cachoeira do Sul,"カショエイラドスル,かしょえいらどする",0
Cachoeiras de Macacu,"カショエイラス・デ・マカク,かしょえいらす・で・まかく",0
Cachoeiro de Itapemirim,"カショエイロデイタペミリン,かしょえいろでいたぺみりん",0
cacholong,"《鉱物》美タンパク石,《こうぶつ》びたんぱくいし",0
cachot,"〈フランス語〉土牢,〈ふらんすご〉つちろう",0
cachou,"〈フランス語〉カシュー,〈ふらんすご〉かしゅー_口中芳香錠,くちなかほうこうじょう",0
cachucha,"カチューシャ,かちゅーしゃ",0
cachucho,"《魚》ハマダイ,《さかな》はまだい",0
cacimbo,"〈スペイン語〉カシンボ,〈すぺいんご〉かしんぼ_霧(雨),きり(あめ)",0
Caciocavallo,"カチョカヴァッロ,かちょかゔぁっろ",0
Caciotta,"カチョッタ,かちょった",0
cacique,"〈スペイン語〉〔植民地時代のインディアンの〕部族長,〈すぺいんご〉〔しょくみんちじだいのいんでぃあんの〕ぶぞくちょう_〈スペイン語〉〔地元の政治的〕指導者,〈すぺいんご〉〔じもとのせいじてき〕しどうしゃ_ボス,ぼす_〈スペイン語〉《鳥》ツリスドリ,〈すぺいんご〉《とり》つりすどり",0
caciuni,"カチューニ,かちゅーに",0
